LogisticRegression
{'train': {'accuracy': 0.5829, 'accuracy_weighted': 0.4912, 'f1_score_macro': 0.439, 'f1_score_weighted': 0.5359}, 'val': {'accuracy': 0.5804, 'accuracy_weighted': 0.4868, 'f1_score_macro': 0.4244, 'f1_score_weighted': 0.5262}}
{'train': {'accuracy': 0.8539, 'accuracy_weighted': 0.8348, 'f1_score_macro': 0.8194, 'f1_score_weighted': 0.8518}, 'val': {'accuracy': 0.6727, 'accuracy_weighted': 0.6415, 'f1_score_macro': 0.5898, 'f1_score_weighted': 0.6707}}
{'train': {'accuracy': 0.8514, 'accuracy_weighted': 0.8292, 'f1_score_macro': 0.8135, 'f1_score_weighted': 0.8488}, 'val': {'accuracy': 0.6613, 'accuracy_weighted': 0.6369, 'f1_score_macro': 0.5711, 'f1_score_weighted': 0.6546}}
{'train': {'accuracy': 0.8488, 'accuracy_weighted': 0.8349, 'f1_score_macro': 0.8104, 'f1_score_weighted': 0.8465}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6412, 'f1_score_macro': 0.5871, 'f1_score_weighted': 0.6718}}
{'train': {'accuracy': 0.8522, 'accuracy_weighted': 0.8278, 'f1_score_macro': 0.8167, 'f1_score_weighted': 0.8503}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6737, 'f1_score_macro': 0.5918, 'f1_score_weighted': 0.6749}}

LightGBMClassification
{'train': {'accuracy': 0.8525, 'accuracy_weighted': 0.8334, 'f1_score_macro': 0.8142, 'f1_score_weighted': 0.8501}, 'val': {'accuracy': 0.6842, 'accuracy_weighted': 0.6525, 'f1_score_macro': 0.5951, 'f1_score_weighted': 0.6748}}
{'train': {'accuracy': 0.8485, 'accuracy_weighted': 0.8268, 'f1_score_macro': 0.8118, 'f1_score_weighted': 0.8461}, 'val': {'accuracy': 0.6819, 'accuracy_weighted': 0.6548, 'f1_score_macro': 0.5816, 'f1_score_weighted': 0.6761}}
{'train': {'accuracy': 0.8502, 'accuracy_weighted': 0.8244, 'f1_score_macro': 0.8088, 'f1_score_weighted': 0.8471}, 'val': {'accuracy': 0.6613, 'accuracy_weighted': 0.6496, 'f1_score_macro': 0.5683, 'f1_score_weighted': 0.6487}}
{'train': {'accuracy': 0.8536, 'accuracy_weighted': 0.8342, 'f1_score_macro': 0.8126, 'f1_score_weighted': 0.8507}, 'val': {'accuracy': 0.6522, 'accuracy_weighted': 0.6369, 'f1_score_macro': 0.5653, 'f1_score_weighted': 0.6438}}
{'train': {'accuracy': 0.8511, 'accuracy_weighted': 0.8313, 'f1_score_macro': 0.8151, 'f1_score_weighted': 0.8487}, 'val': {'accuracy': 0.683, 'accuracy_weighted': 0.651, 'f1_score_macro': 0.5758, 'f1_score_weighted': 0.673}}
{'train': {'accuracy': 0.8528, 'accuracy_weighted': 0.8323, 'f1_score_macro': 0.8138, 'f1_score_weighted': 0.8499}, 'val': {'accuracy': 0.6853, 'accuracy_weighted': 0.643, 'f1_score_macro': 0.5987, 'f1_score_weighted': 0.6767}}
{'train': {'accuracy': 0.8496, 'accuracy_weighted': 0.8301, 'f1_score_macro': 0.8112, 'f1_score_weighted': 0.8471}, 'val': {'accuracy': 0.6944, 'accuracy_weighted': 0.6692, 'f1_score_macro': 0.6, 'f1_score_weighted': 0.6836}}
{'train': {'accuracy': 0.8568, 'accuracy_weighted': 0.8393, 'f1_score_macro': 0.8165, 'f1_score_weighted': 0.8536}, 'val': {'accuracy': 0.6499, 'accuracy_weighted': 0.6273, 'f1_score_macro': 0.5678, 'f1_score_weighted': 0.643}}
{'train': {'accuracy': 0.8548, 'accuracy_weighted': 0.8375, 'f1_score_macro': 0.8142, 'f1_score_weighted': 0.8516}, 'val': {'accuracy': 0.675, 'accuracy_weighted': 0.6426, 'f1_score_macro': 0.5833, 'f1_score_weighted': 0.6655}}
{'train': {'accuracy': 0.8548, 'accuracy_weighted': 0.8314, 'f1_score_macro': 0.814, 'f1_score_weighted': 0.8522}, 'val': {'accuracy': 0.6477, 'accuracy_weighted': 0.6247, 'f1_score_macro': 0.5774, 'f1_score_weighted': 0.6366}}

LightGBMClassification
{'train': {'accuracy': 0.8505, 'accuracy_weighted': 0.8278, 'f1_score_macro': 0.8084, 'f1_score_weighted': 0.8474}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.658, 'f1_score_macro': 0.5955, 'f1_score_weighted': 0.6701}}
{'train': {'accuracy': 0.8565, 'accuracy_weighted': 0.8325, 'f1_score_macro': 0.8184, 'f1_score_weighted': 0.8542}, 'val': {'accuracy': 0.6579, 'accuracy_weighted': 0.6384, 'f1_score_macro': 0.5666, 'f1_score_weighted': 0.6456}}
{'train': {'accuracy': 0.8488, 'accuracy_weighted': 0.8369, 'f1_score_macro': 0.8143, 'f1_score_weighted': 0.8468}, 'val': {'accuracy': 0.6864, 'accuracy_weighted': 0.6379, 'f1_score_macro': 0.5891, 'f1_score_weighted': 0.684}}
{'train': {'accuracy': 0.8613, 'accuracy_weighted': 0.8437, 'f1_score_macro': 0.8235, 'f1_score_weighted': 0.8589}, 'val': {'accuracy': 0.667, 'accuracy_weighted': 0.6356, 'f1_score_macro': 0.5776, 'f1_score_weighted': 0.6591}}
{'train': {'accuracy': 0.8516, 'accuracy_weighted': 0.8335, 'f1_score_macro': 0.8132, 'f1_score_weighted': 0.8492}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.6495, 'f1_score_macro': 0.5867, 'f1_score_weighted': 0.6673}}
{'train': {'accuracy': 0.8514, 'accuracy_weighted': 0.8313, 'f1_score_macro': 0.8125, 'f1_score_weighted': 0.8494}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6413, 'f1_score_macro': 0.5811, 'f1_score_weighted': 0.6454}}
{'train': {'accuracy': 0.8482, 'accuracy_weighted': 0.828, 'f1_score_macro': 0.808, 'f1_score_weighted': 0.8459}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.6677, 'f1_score_macro': 0.6028, 'f1_score_weighted': 0.6791}}
{'train': {'accuracy': 0.8562, 'accuracy_weighted': 0.8389, 'f1_score_macro': 0.8157, 'f1_score_weighted': 0.8533}, 'val': {'accuracy': 0.6739, 'accuracy_weighted': 0.6525, 'f1_score_macro': 0.5838, 'f1_score_weighted': 0.6617}}
{'train': {'accuracy': 0.8559, 'accuracy_weighted': 0.8385, 'f1_score_macro': 0.8188, 'f1_score_weighted': 0.8532}, 'val': {'accuracy': 0.6784, 'accuracy_weighted': 0.6505, 'f1_score_macro': 0.5862, 'f1_score_weighted': 0.6696}}
{'train': {'accuracy': 0.8545, 'accuracy_weighted': 0.8365, 'f1_score_macro': 0.8165, 'f1_score_weighted': 0.8518}, 'val': {'accuracy': 0.6933, 'accuracy_weighted': 0.6623, 'f1_score_macro': 0.5941, 'f1_score_weighted': 0.6826}}

LightGBMClassification
{'train': {'accuracy': 0.8468, 'accuracy_weighted': 0.8291, 'f1_score_macro': 0.808, 'f1_score_weighted': 0.8443}, 'val': {'accuracy': 0.6568, 'accuracy_weighted': 0.6279, 'f1_score_macro': 0.5781, 'f1_score_weighted': 0.6482}}
{'train': {'accuracy': 0.8397, 'accuracy_weighted': 0.825, 'f1_score_macro': 0.7995, 'f1_score_weighted': 0.8368}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6471, 'f1_score_macro': 0.5801, 'f1_score_weighted': 0.6735}}
{'train': {'accuracy': 0.8442, 'accuracy_weighted': 0.8288, 'f1_score_macro': 0.8038, 'f1_score_weighted': 0.8416}, 'val': {'accuracy': 0.6876, 'accuracy_weighted': 0.6465, 'f1_score_macro': 0.6054, 'f1_score_weighted': 0.6805}}
{'train': {'accuracy': 0.8459, 'accuracy_weighted': 0.825, 'f1_score_macro': 0.8086, 'f1_score_weighted': 0.8438}, 'val': {'accuracy': 0.6693, 'accuracy_weighted': 0.6483, 'f1_score_macro': 0.5794, 'f1_score_weighted': 0.6629}}
{'train': {'accuracy': 0.8419, 'accuracy_weighted': 0.8217, 'f1_score_macro': 0.7994, 'f1_score_weighted': 0.8392}, 'val': {'accuracy': 0.691, 'accuracy_weighted': 0.6702, 'f1_score_macro': 0.6016, 'f1_score_weighted': 0.6788}}
{'train': {'accuracy': 0.8442, 'accuracy_weighted': 0.828, 'f1_score_macro': 0.8073, 'f1_score_weighted': 0.8416}, 'val': {'accuracy': 0.6727, 'accuracy_weighted': 0.6489, 'f1_score_macro': 0.5817, 'f1_score_weighted': 0.6694}}
{'train': {'accuracy': 0.8548, 'accuracy_weighted': 0.8371, 'f1_score_macro': 0.8182, 'f1_score_weighted': 0.8525}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6347, 'f1_score_macro': 0.5699, 'f1_score_weighted': 0.6508}}
{'train': {'accuracy': 0.8394, 'accuracy_weighted': 0.8174, 'f1_score_macro': 0.798, 'f1_score_weighted': 0.8368}, 'val': {'accuracy': 0.6921, 'accuracy_weighted': 0.6803, 'f1_score_macro': 0.6079, 'f1_score_weighted': 0.6828}}
{'train': {'accuracy': 0.8417, 'accuracy_weighted': 0.8236, 'f1_score_macro': 0.8042, 'f1_score_weighted': 0.8395}, 'val': {'accuracy': 0.6488, 'accuracy_weighted': 0.626, 'f1_score_macro': 0.5591, 'f1_score_weighted': 0.6451}}
{'train': {'accuracy': 0.8511, 'accuracy_weighted': 0.831, 'f1_score_macro': 0.8192, 'f1_score_weighted': 0.8493}, 'val': {'accuracy': 0.6522, 'accuracy_weighted': 0.6327, 'f1_score_macro': 0.5667, 'f1_score_weighted': 0.6485}}

LightGBMClassification
{'train': {'accuracy': 0.8479, 'accuracy_weighted': 0.8296, 'f1_score_macro': 0.8121, 'f1_score_weighted': 0.8462}, 'val': {'accuracy': 0.6682, 'accuracy_weighted': 0.6396, 'f1_score_macro': 0.5868, 'f1_score_weighted': 0.6628}}
{'train': {'accuracy': 0.8414, 'accuracy_weighted': 0.8231, 'f1_score_macro': 0.8005, 'f1_score_weighted': 0.8385}, 'val': {'accuracy': 0.6784, 'accuracy_weighted': 0.6555, 'f1_score_macro': 0.5955, 'f1_score_weighted': 0.6696}}
{'train': {'accuracy': 0.8414, 'accuracy_weighted': 0.8199, 'f1_score_macro': 0.8022, 'f1_score_weighted': 0.8386}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.6501, 'f1_score_macro': 0.5808, 'f1_score_weighted': 0.6631}}
{'train': {'accuracy': 0.8431, 'accuracy_weighted': 0.8226, 'f1_score_macro': 0.8053, 'f1_score_weighted': 0.8406}, 'val': {'accuracy': 0.6648, 'accuracy_weighted': 0.6398, 'f1_score_macro': 0.5657, 'f1_score_weighted': 0.655}}
{'train': {'accuracy': 0.8454, 'accuracy_weighted': 0.8328, 'f1_score_macro': 0.8081, 'f1_score_weighted': 0.8433}, 'val': {'accuracy': 0.6784, 'accuracy_weighted': 0.6403, 'f1_score_macro': 0.589, 'f1_score_weighted': 0.6747}}
{'train': {'accuracy': 0.8377, 'accuracy_weighted': 0.8199, 'f1_score_macro': 0.8024, 'f1_score_weighted': 0.8356}, 'val': {'accuracy': 0.6807, 'accuracy_weighted': 0.6555, 'f1_score_macro': 0.594, 'f1_score_weighted': 0.6801}}
{'train': {'accuracy': 0.8514, 'accuracy_weighted': 0.8239, 'f1_score_macro': 0.8132, 'f1_score_weighted': 0.8486}, 'val': {'accuracy': 0.6477, 'accuracy_weighted': 0.6372, 'f1_score_macro': 0.5669, 'f1_score_weighted': 0.6414}}
{'train': {'accuracy': 0.8459, 'accuracy_weighted': 0.8296, 'f1_score_macro': 0.8126, 'f1_score_weighted': 0.8444}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6198, 'f1_score_macro': 0.5397, 'f1_score_weighted': 0.6429}}
{'train': {'accuracy': 0.8385, 'accuracy_weighted': 0.8214, 'f1_score_macro': 0.8021, 'f1_score_weighted': 0.8371}, 'val': {'accuracy': 0.6956, 'accuracy_weighted': 0.6651, 'f1_score_macro': 0.5947, 'f1_score_weighted': 0.6903}}
{'train': {'accuracy': 0.8419, 'accuracy_weighted': 0.8266, 'f1_score_macro': 0.8069, 'f1_score_weighted': 0.8401}, 'val': {'accuracy': 0.6534, 'accuracy_weighted': 0.6131, 'f1_score_macro': 0.5599, 'f1_score_weighted': 0.6467}}

LightGBMClassification
{'train': {'accuracy': 0.8448, 'accuracy_weighted': 0.8249, 'f1_score_macro': 0.8097, 'f1_score_weighted': 0.8424}, 'val': {'accuracy': 0.6568, 'accuracy_weighted': 0.6281, 'f1_score_macro': 0.5697, 'f1_score_weighted': 0.6515}}
{'train': {'accuracy': 0.8454, 'accuracy_weighted': 0.8296, 'f1_score_macro': 0.8112, 'f1_score_weighted': 0.8433}, 'val': {'accuracy': 0.6659, 'accuracy_weighted': 0.6395, 'f1_score_macro': 0.5853, 'f1_score_weighted': 0.6655}}
{'train': {'accuracy': 0.8511, 'accuracy_weighted': 0.8326, 'f1_score_macro': 0.8171, 'f1_score_weighted': 0.8494}, 'val': {'accuracy': 0.6556, 'accuracy_weighted': 0.6278, 'f1_score_macro': 0.5671, 'f1_score_weighted': 0.6507}}
{'train': {'accuracy': 0.8485, 'accuracy_weighted': 0.8264, 'f1_score_macro': 0.8092, 'f1_score_weighted': 0.8456}, 'val': {'accuracy': 0.6796, 'accuracy_weighted': 0.655, 'f1_score_macro': 0.5904, 'f1_score_weighted': 0.6703}}
{'train': {'accuracy': 0.8402, 'accuracy_weighted': 0.8207, 'f1_score_macro': 0.7991, 'f1_score_weighted': 0.8378}, 'val': {'accuracy': 0.6659, 'accuracy_weighted': 0.6269, 'f1_score_macro': 0.5762, 'f1_score_weighted': 0.6522}}
{'train': {'accuracy': 0.8414, 'accuracy_weighted': 0.8206, 'f1_score_macro': 0.7972, 'f1_score_weighted': 0.8383}, 'val': {'accuracy': 0.6853, 'accuracy_weighted': 0.6664, 'f1_score_macro': 0.6109, 'f1_score_weighted': 0.6786}}
{'train': {'accuracy': 0.8468, 'accuracy_weighted': 0.8265, 'f1_score_macro': 0.809, 'f1_score_weighted': 0.844}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6303, 'f1_score_macro': 0.5661, 'f1_score_weighted': 0.6469}}
{'train': {'accuracy': 0.8459, 'accuracy_weighted': 0.8251, 'f1_score_macro': 0.8085, 'f1_score_weighted': 0.844}, 'val': {'accuracy': 0.634, 'accuracy_weighted': 0.6128, 'f1_score_macro': 0.5406, 'f1_score_weighted': 0.6251}}
{'train': {'accuracy': 0.8471, 'accuracy_weighted': 0.8348, 'f1_score_macro': 0.812, 'f1_score_weighted': 0.8453}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.632, 'f1_score_macro': 0.5738, 'f1_score_weighted': 0.6663}}
{'train': {'accuracy': 0.8459, 'accuracy_weighted': 0.826, 'f1_score_macro': 0.8066, 'f1_score_weighted': 0.8433}, 'val': {'accuracy': 0.6568, 'accuracy_weighted': 0.6277, 'f1_score_macro': 0.5663, 'f1_score_weighted': 0.6495}}

LightGBMClassification
{'train': {'accuracy': 0.8425, 'accuracy_weighted': 0.8216, 'f1_score_macro': 0.8038, 'f1_score_weighted': 0.8397}, 'val': {'accuracy': 0.675, 'accuracy_weighted': 0.656, 'f1_score_macro': 0.5702, 'f1_score_weighted': 0.6652}}
{'train': {'accuracy': 0.8394, 'accuracy_weighted': 0.8217, 'f1_score_macro': 0.8036, 'f1_score_weighted': 0.8373}, 'val': {'accuracy': 0.6591, 'accuracy_weighted': 0.6208, 'f1_score_macro': 0.5636, 'f1_score_weighted': 0.6547}}
{'train': {'accuracy': 0.8411, 'accuracy_weighted': 0.821, 'f1_score_macro': 0.8061, 'f1_score_weighted': 0.8393}, 'val': {'accuracy': 0.6796, 'accuracy_weighted': 0.6532, 'f1_score_macro': 0.58, 'f1_score_weighted': 0.673}}
{'train': {'accuracy': 0.8414, 'accuracy_weighted': 0.8225, 'f1_score_macro': 0.8047, 'f1_score_weighted': 0.8391}, 'val': {'accuracy': 0.6385, 'accuracy_weighted': 0.6055, 'f1_score_macro': 0.5339, 'f1_score_weighted': 0.6309}}
{'train': {'accuracy': 0.8448, 'accuracy_weighted': 0.8217, 'f1_score_macro': 0.8049, 'f1_score_weighted': 0.8417}, 'val': {'accuracy': 0.6556, 'accuracy_weighted': 0.6398, 'f1_score_macro': 0.5603, 'f1_score_weighted': 0.6497}}
{'train': {'accuracy': 0.8465, 'accuracy_weighted': 0.8287, 'f1_score_macro': 0.8094, 'f1_score_weighted': 0.8442}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.6255, 'f1_score_macro': 0.5529, 'f1_score_weighted': 0.6433}}
{'train': {'accuracy': 0.8431, 'accuracy_weighted': 0.8192, 'f1_score_macro': 0.8089, 'f1_score_weighted': 0.8416}, 'val': {'accuracy': 0.6511, 'accuracy_weighted': 0.6359, 'f1_score_macro': 0.5526, 'f1_score_weighted': 0.646}}
{'train': {'accuracy': 0.8499, 'accuracy_weighted': 0.8355, 'f1_score_macro': 0.8136, 'f1_score_weighted': 0.8478}, 'val': {'accuracy': 0.6659, 'accuracy_weighted': 0.6257, 'f1_score_macro': 0.5749, 'f1_score_weighted': 0.6616}}
{'train': {'accuracy': 0.8508, 'accuracy_weighted': 0.8297, 'f1_score_macro': 0.8133, 'f1_score_weighted': 0.8486}, 'val': {'accuracy': 0.6397, 'accuracy_weighted': 0.6219, 'f1_score_macro': 0.5718, 'f1_score_weighted': 0.6365}}
{'train': {'accuracy': 0.8419, 'accuracy_weighted': 0.8226, 'f1_score_macro': 0.8025, 'f1_score_weighted': 0.8399}, 'val': {'accuracy': 0.6545, 'accuracy_weighted': 0.634, 'f1_score_macro': 0.5649, 'f1_score_weighted': 0.6489}}

RandomForestClassification
